,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
0,SAMSUNG,Intel,Core i7,16,LPDDR4X,0.512,5.0,Intel Integrated Iris Xe,0,86990
1,SAMSUNG,Intel,Core i5,8,LPDDR4X,0.512,4.6,Intel Integrated Iris Xe,0,71990
2,HP,AMD,Athlon Dual Core,8,DDR4,0.512,3.2,AMD Radeon AMD,0,26990
3,HP,Intel,Core i3,8,DDR4,0.512,4.1,Intel Integrated UHD,0,35990
4,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated UHD,0,37990
5,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.0,AMD Radeon Radeon Graphics,0,41990
6,HP,Intel,Core i3,8,DDR4,0.512,4.1,Intel Integrated UHD,0,35990
7,HP,AMD,Ryzen 3 Dual Core,8,DDR4,0.512,3.5,AMD Radeon AMD,0,29490
8,Lenovo,AMD,Athlon Dual Core,8,LPDDR5,0.512,3.5,AMD Radeon 610M Graphics,0,26990
9,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated UHD,0,38451
10,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.0,AMD Radeon AMD,0,38990
11,HP,Intel,Core i5,8,DDR4,0.512,4.4,Intel Integrated Integrated,0,50990
12,HP,Intel,Core i3,8,DDR4,0.512,4.5,Intel Integrated Integrated,0,44990
13,ASUS,Intel,Core i5,16,DDR5,1.0,4.6,NVIDIA GeForce RTX 3050,6,94990
14,HP,AMD,Athlon Dual Core,4,DDR4,0.256,3.2,NA,0,19990
15,HP,AMD,Ryzen 3 Quad Core,8,DDR4,0.512,3.8,AMD Radeon Radeon Graphics,0,33999
16,HP,Intel,Core i5,16,DDR4,0.512,4.5,Intel Integrated Integrated,0,52990
17,ASUS,AMD,Ryzen 7 Octa Core,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 2050,4,69990
18,HP,Intel,Core i5,8,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,60990
19,HP,Intel,Core i5,8,DDR4,0.512,4.4,NVIDIA GeForce GTX 1650,4,58990
20,MSI,Intel,Core i7,16,DDR4,0.256,4.6,NVIDIA GeForce GTX 1650,4,57990
21,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.3,AMD Radeon Radeon Graphics,0,50990
22,HP,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Iris Xe,0,68990
23,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.3,AMD Radeon AMD,0,55990
24,HP,Intel,Core i5,8,LPDDR4X,0.512,2.4,Intel Integrated Iris Xe,0,74990
25,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated UHD,0,37990
26,HP,Intel,Core i3,8,DDR4,0.512,2.6,Intel Integrated Intel® UHD Graphics,0,35999
27,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.0,AMD Radeon AMD,0,39990
28,HP,AMD,Ryzen 7 Octa Core,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 3050,4,74990
29,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated UHD,0,47990
30,ASUS,Intel,Core i5,8,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,47990
31,Lenovo,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.0,AMD Radeon AMD,0,41990
32,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.0,AMD Radeon AMD,0,41999
33,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.2,AMD Radeon RX 6500M,4,52990
34,ASUS,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.2,NVIDIA GeForce RTX 2050,4,61990
35,Lenovo,Intel,Core i3,8,DDR4,0.512,4.1,Intel Integrated UHD Graphics,0,34990
36,HP,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.2,NVIDIA GeForce RTX 3050,4,61990
37,HP,Intel,Core i5,8,DDR4,0.512,4.6,Intel Integrated Integrated,0,57990
38,HP,Intel,Core i5,16,DDR4,1.0,4.4,Intel Integrated Iris Xe,0,69990
39,HP,Intel,Core i3,16,DDR4,0.512,4.4,Intel Integrated UHD,0,40990
40,HP,Intel,Celeron Dual Core,8,DDR4,0.512,2.8,Intel Integrated Intel® UHD Graphics,0,28490
41,HP,Intel,Core i3,8,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,53990
42,ASUS,Intel,Core i5,16,LPDDR5,0.512,4.7,Intel Integrated Iris Xe,0,82990
43,ASUS,AMD,Ryzen 5 Quad Core,8,LPDDR5,0.512,4.3,AMD Radeon AMD,0,39990
44,HP,AMD,Athlon Dual Core,8,DDR4,0.512,3.2,AMD Radeon AMD,0,29936
45,HP,AMD,Ryzen 5 Hexa Core,16,LPDDR5,0.512,4.55,AMD Radeon AMD,0,65990
46,HP,Intel,Core i3,8,DDR4,0.512,3.7,Intel Integrated UHD,0,54070
47,HP,Intel,Core i5,16,LPDDR4X,0.512,2.4,Intel Integrated Iris Xe,0,85490
48,Lenovo,AMD,Ryzen 5 Hexa Core,16,DDR4,0.512,4.5,AMD Radeon AMD,0,58990
