,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
0,7,1,2,16,2,0.512,5.0,5,0,86990
1,7,1,1,8,2,0.512,4.6,5,0,71990
2,4,1,0,8,0,0.512,4.1,7,0,35990
4,4,0,6,16,0,0.512,4.0,3,0,41990
5,4,1,0,8,0,0.512,4.1,7,0,35990
6,4,0,4,8,0,0.512,3.5,1,0,29490
7,4,1,0,8,0,0.512,4.4,7,0,38451
8,4,0,6,8,0,0.512,4.0,1,0,38990
9,4,1,1,8,0,0.512,4.4,4,0,50990
10,4,1,0,8,0,0.512,4.5,4,0,44990
11,0,1,1,16,1,1.0,4.6,13,6,94990
12,4,0,5,8,0,0.512,3.8,3,0,33999
13,4,1,1,16,0,0.512,4.5,4,0,52990
14,0,0,8,16,0,0.512,4.4,12,4,69990
15,4,1,1,8,0,0.512,4.4,5,0,60990
16,4,1,1,8,0,0.512,4.4,9,4,58990
17,6,1,2,16,0,0.256,4.6,9,4,57990
18,4,0,6,8,0,0.512,4.3,3,0,50990
19,4,1,1,16,0,0.512,4.6,5,0,68990
20,4,0,6,16,0,0.512,2.4,1,0,55990
21,4,1,1,8,2,0.512,2.4,5,0,74990
22,4,1,0,8,0,0.512,4.4,7,0,37990
23,4,0,6,8,0,0.512,4.0,1,0,39990
24,4,0,8,16,0,0.512,4.4,13,4,74990
26,0,1,1,8,0,0.512,4.4,5,0,47990
27,5,0,6,16,0,0.512,4.0,1,0,41990
28,4,0,6,16,0,0.512,4.0,1,0,41999
29,0,0,6,16,0,0.512,4.2,12,4,61990
30,5,1,0,8,0,0.512,4.1,8,0,34990
31,4,0,6,16,0,0.512,4.2,13,4,61990
32,4,1,1,8,0,0.512,4.6,4,0,57990
33,4,1,1,16,0,1.0,4.4,5,0,69990
36,0,1,1,16,3,0.512,4.7,5,0,82990
37,0,0,7,8,3,0.512,2.8,1,0,39990
38,4,0,6,16,3,0.512,2.9,1,0,65990
40,4,1,1,16,2,0.512,2.4,5,0,85490
41,5,0,6,16,0,0.512,4.5,1,0,58990
42,4,0,5,8,3,0.512,4.1,1,0,35990
43,4,1,1,8,2,0.512,2.4,5,0,74990
44,6,1,1,8,1,0.512,3.3,13,6,69990
45,6,1,1,16,0,0.256,3.3,19,8,86990
46,4,0,6,16,0,0.512,4.3,2,0,55990
47,4,0,8,16,0,0.512,4.3,1,0,50990
48,4,1,1,8,0,0.512,4.5,9,4,56990
49,6,1,1,16,0,0.512,4.4,12,4,49990
50,5,1,1,16,0,0.512,4.4,5,0,70990
51,4,0,6,8,1,0.512,4.55,12,4,56990
52,4,1,2,16,0,0.512,4.7,13,4,84990
53,6,1,2,16,1,1.0,3.6,18,6,103990
54,5,1,1,16,0,0.512,4.4,6,0,61990
55,4,1,1,16,0,0.512,4.6,4,0,64990
56,4,0,6,16,0,0.512,4.2,9,4,59490
57,4,0,8,16,0,0.512,4.4,13,4,78990
58,6,1,2,16,0,0.256,4.6,13,4,63990
59,6,1,2,16,0,0.512,3.2,18,6,82990
60,4,1,1,16,0,0.512,4.6,5,0,66490
61,0,1,1,8,0,0.512,4.4,12,4,50990
62,4,1,2,16,0,0.512,5.0,18,6,104990
63,4,0,8,16,3,1.0,2.7,1,0,77990
64,4,1,1,16,0,0.512,4.4,5,0,70990
65,4,1,2,16,0,1.0,3.5,5,0,104990
66,6,1,2,8,1,0.512,3.2,13,6,79990
67,0,1,1,16,3,0.512,4.6,4,0,92990
68,4,1,0,8,0,0.512,4.4,7,0,37990
69,0,0,6,8,0,0.512,4.2,12,4,51990
70,7,1,2,16,2,0.512,5.0,5,0,86990
71,4,1,0,8,0,0.512,4.1,7,0,36990
72,4,0,6,8,0,0.512,4.3,3,0,54990
73,4,0,6,16,0,0.512,4.3,3,0,59100
74,6,1,2,8,0,0.512,2.3,13,4,68590
75,1,1,2,16,1,1.0,5.0,18,6,109990
76,4,1,2,16,0,1.0,4.7,8,0,79990
77,1,1,1,16,0,0.512,3.3,13,4,78990
78,4,0,4,8,0,0.512,3.5,1,0,26990
79,4,1,1,16,1,0.512,4.6,18,6,99990
80,4,0,6,16,3,0.512,2.9,1,0,65990
81,6,1,2,16,1,1.0,4.7,19,8,105990
83,4,0,6,8,0,0.512,4.2,9,4,51990
84,5,0,8,16,0,1.0,4.4,15,6,104990
85,6,1,2,16,1,1.0,4.7,19,8,99990
86,4,1,1,8,0,0.256,4.2,5,0,50990
87,4,1,1,16,2,0.512,2.4,5,0,85490
88,1,1,1,8,0,0.512,4.4,13,4,65990
89,0,1,3,16,0,0.512,2.5,13,4,87990
90,4,1,1,16,0,0.512,4.5,5,0,77990
91,4,1,1,8,0,0.512,4.4,5,0,51990
93,4,1,2,16,2,1.0,4.7,5,0,114490
94,4,1,1,8,0,0.512,4.4,7,0,61990
95,4,1,1,8,0,0.512,4.6,4,0,58990
